,code,market,name,w_highest,w_lowest,d_widest,d_indicate,average,index1,index2,index3,index4
93,1563-T,東証,マザーズ・コア上場投信,4545.0,3860.0,155.0,9065.0,4355.0,0.03559127439724455,0.01709873138444567,0.15729047072330654,0.08149910767400356
94,1566-T,東証,上場インデックスファンド新興国債券（バークレイズLocal EM国債）,63100.0,60400.0,800.0,126200.0,62300.0,0.012841091492776886,0.006339144215530904,0.04333868378812199,0.02186234817813765
95,1568-T,東証,TOPIXブル2倍上場投信,17900.0,15160.0,1010.0,35740.0,17038.0,0.05927925812888837,0.028259653049804143,0.1608169973001526,0.08287961282516637
96,1569-T,東証,TOPIXベア上場投信,4435.0,4105.0,145.0,8725.0,4201.0,0.034515591525827186,0.0166189111747851,0.07855272554153774,0.03864168618266979
97,1570-T,東証,NEXT FUNDS 日経平均レバレッジ・インデックス連動型上場投信,18130.0,15620.0,970.0,36230.0,17358.0,0.055882014056919,0.026773392216395252,0.14460191266274916,0.07437037037037036
98,1571-T,東証,NEXT FUNDS 日経平均インバース・インデックス連動型上場投信,2393.0,2228.0,88.0,4698.0,2275.0,0.03868131868131868,0.018731375053214133,0.07252747252747253,0.035706557022289545
99,1572-T,東証,中国H株ブル2倍上場投信,20960.0,14000.0,3200.0,40300.0,17326.0,0.1846935241833083,0.0794044665012407,0.4017084150986956,0.19908466819221968
100,1573-T,東証,中国H株ベア上場投信,14200.0,10200.0,3180.0,25220.0,10926.0,0.2910488742449204,0.1260904044409199,0.3660992128866923,0.16393442622950818
101,1575-T,東証,ChinaAMC CSI 300 Index ETF-JDR,867.0,627.0,79.0,1694.0,769.8,0.10262405819693428,0.046635182998819365,0.31176929072486365,0.1606425702811245
102,1576-T,東証,南方 FTSE 中国A株50 ETF,800.0,586.0,95.0,1505.0,698.2,0.13606416499570323,0.06312292358803986,0.30650243483242623,0.1544011544011544
103,1577-T,東証,NEXT FUNDS 野村日本株高配当70連動型上場投信,23870.0,22010.0,720.0,47670.0,23340.0,0.030848329048843187,0.015103838892385148,0.07969151670951156,0.04054054054054054
104,1578-T,東証,上場インデックスファンド日経225（ミニ）,1940.0,1502.0,230.0,3650.0,1670.4,0.13769157088122605,0.06301369863013699,0.2622126436781609,0.1272515979081929
105,1579-T,東証,日経平均ブル2倍上場投信,18980.0,16350.0,1000.0,37940.0,18178.0,0.05501155242600946,0.02635740643120717,0.14468038288040488,0.07444098499858477
106,1580-T,東証,日経平均ベア上場投信,6420.0,5980.0,230.0,12610.0,6108.0,0.03765553372626064,0.01823949246629659,0.07203667321545514,0.035483870967741936
107,1581-T,東証,iシェアーズ 先進国株ETF（MSCIコクサイ）,6830.0,6240.0,70.0,13660.0,6690.0,0.01046337817638266,0.005124450951683748,0.08819133034379671,0.045141545524101
108,1582-T,東証,iシェアーズ エマージング株ETF（MSCIエマージングIMI）,6160.0,5420.0,260.0,12060.0,5724.0,0.045422781271837874,0.02155887230514096,0.12928022361984626,0.06390328151986183
109,1583-T,東証,iシェアーズ フロンティア株ETF（MSCIフロンティア100）,3770.0,3610.0,40.0,7530.0,3711.0,0.010778765831312315,0.005312084993359893,0.04311506332524926,0.02168021680216802
110,1586-T,東証,上場インデックスファンドTOPIX Ex-Financials,1430.0,1195.0,64.0,2805.0,1349.0,0.04744255003706449,0.02281639928698752,0.17420311341734618,0.08952380952380952
111,1587-T,東証,iシェアーズ 米国超大型株ETF（S&P100）,11360.0,10720.0,40.0,22720.0,11218.0,0.0035656979853806382,0.0017605633802816902,0.05705116776609021,0.028985507246376812
112,1588-T,東証,iシェアーズ 米国小型株ETF（ラッセル2000）,15300.0,14750.0,220.0,30590.0,15076.0,0.014592730167153092,0.007191892775416803,0.03648182541788273,0.018302828618968387
113,1589-T,東証,iシェアーズ 米国高配当株ETF（モーニングスター配当フォーカス）,9220.0,8830.0,170.0,18440.0,9076.0,0.01873071837814015,0.009219088937093275,0.042970471573380346,0.021606648199445983
114,1590-T,東証,iシェアーズ 米国リート・不動産株ETF（ダウ・ジョーンズ米国不動産）,9090.0,8730.0,120.0,18140.0,8978.0,0.013366005791935844,0.006615214994487321,0.04009801737580753,0.020202020202020204
115,1591-T,東証,NEXT FUNDS JPX日経インデックス400連動型上場投信,14980.0,13920.0,350.0,29940.0,14654.0,0.02388426368227105,0.01169004676018704,0.07233519858059233,0.03667820069204152
116,1592-T,東証,上場インデックスファンドJPX日経インデックス400,1367.0,1254.0,49.0,2731.0,1328.6,0.0368809272918862,0.01794214573416331,0.08505193436700287,0.04311331552842427
117,1593-T,東証,MAXIS JPX日経インデックス400上場投信,15220.0,14080.0,430.0,30420.0,14864.0,0.028928955866523144,0.01413543721236029,0.07669537136706135,0.03890784982935153
118,1595-T,東証,NZAM 上場投信 東証REIT指数,1818.0,1647.0,38.0,3598.0,1732.6,0.021932355996767863,0.010561423012784881,0.09869560198545539,0.04935064935064935
119,1597-T,東証,MAXIS Jリート上場投信,1808.0,1650.0,30.0,3594.0,1739.6,0.01724534375718556,0.008347245409015025,0.09082547712117729,0.04569115095430885
120,1599-T,東証,ダイワ上場投信-JPX日経400,15160.0,13900.0,420.0,30290.0,14754.0,0.028466856445709638,0.013865962363816441,0.08540056933712892,0.043358568479008944
121,1605-T,東証1部,国際石油開発帝石,1394.0,1303.5,38.0,2767.0,1348.3,0.028183638656085443,0.013733285146367907,0.0671215604835719,0.033549582947173306
122,1606-T,東証1部,日本海洋掘削,3525.0,3150.0,115.0,7035.0,3414.0,0.03368482718219098,0.016346837242359632,0.10984182776801406,0.056179775280898875
123,1612-T,東証,ダイワ上場投信-東証銀行業株価指数,232.0,206.0,7.0,464.0,222.6,0.031446540880503145,0.015086206896551725,0.11680143755615455,0.0593607305936073
124,1615-T,東証,東証銀行業株価指数連動型上場投資信託,250.0,225.0,10.0,499.0,240.4,0.04159733777038269,0.02004008016032064,0.10399334442595673,0.05263157894736842
125,1617-T,東証,NEXT FUNDS 食品（TOPIX-17）上場投信,29520.0,27830.0,570.0,59010.0,29112.0,0.019579554822753503,0.009659379766141332,0.058051662544655123,0.02946817785527463
126,1618-T,東証,NEXT FUNDS エネルギー資源（TOPIX-17）上場投信,13640.0,12830.0,250.0,27110.0,13232.0,0.018893591293833133,0.009221689413500553,0.061215235792019346,0.03060068001511145
127,1619-T,東証,NEXT FUNDS 建設・資材（TOPIX-17）上場投信,23570.0,21520.0,460.0,47120.0,22930.0,0.02006105538595726,0.009762308998302207,0.08940252943741823,0.04546462630294966
128,1621-T,東証,NEXT FUNDS 医薬品（TOPIX-17）上場投信,21040.0,19980.0,390.0,42030.0,20682.0,0.018856977081520163,0.009279086366880799,0.05125229668310608,0.025841053144807412
129,1622-T,東証,NEXT FUNDS 自動車・輸送機（TOPIX-17）上場投信,26150.0,24080.0,700.0,52300.0,25548.0,0.027399405041490528,0.01338432122370937,0.0810239549084077,0.04121043201274139
130,1623-T,東証,NEXT FUNDS 鉄鋼・非鉄（TOPIX-17）上場投信,24790.0,22040.0,770.0,49270.0,23768.0,0.03239649949511949,0.01562817130099452,0.11570178391114103,0.05872304078582106
131,1624-T,東証,NEXT FUNDS 機械（TOPIX-17）上場投信,33600.0,30450.0,700.0,67200.0,32620.0,0.02145922746781116,0.010416666666666666,0.09656652360515021,0.04918032786885246
132,1625-T,東証,NEXT FUNDS 電機・精密（TOPIX-17）上場投信,17020.0,15700.0,470.0,34040.0,16650.0,0.02822822822822823,0.013807285546415981,0.07927927927927927,0.040342298288508556
133,1626-T,東証,NEXT FUNDS 情報通信･サービスその他（TOPIX-17）上場投信,18250.0,16870.0,480.0,36380.0,17858.0,0.026878709821928547,0.013194062671797692,0.07727629073804457,0.03929384965831435
134,1627-T,東証,NEXT FUNDS 電力・ガス（TOPIX-17）上場投信,9000.0,8530.0,230.0,17940.0,8820.0,0.026077097505668934,0.01282051282051282,0.05328798185941043,0.026811180832857957
135,1628-T,東証,NEXT FUNDS 運輸・物流（TOPIX-17）上場投信,17970.0,17100.0,320.0,35940.0,17704.0,0.01807501129688206,0.008903728436282694,0.0491414369633981,0.02480752780153978
136,1629-T,東証,NEXT FUNDS 商社・卸売（TOPIX-17）上場投信,30200.0,27500.0,1050.0,60400.0,29360.0,0.035762942779291554,0.0173841059602649,0.09196185286103542,0.04679376083188908
137,1630-T,東証,NEXT FUNDS 小売（TOPIX-17）上場投信,21320.0,20190.0,430.0,42430.0,20838.0,0.02063537767540071,0.010134338911147773,0.05422785296093675,0.027222356058781018
138,1631-T,東証,NEXT FUNDS 銀行（TOPIX-17）上場投信,14640.0,13160.0,590.0,29240.0,14094.0,0.04186178515680431,0.02017783857729138,0.10500922378317014,0.053237410071942444
139,1632-T,東証,NEXT FUNDS 金融（除く銀行）（TOPIX-17）上場投信,15370.0,13850.0,800.0,30740.0,14822.0,0.05397382269599244,0.026024723487312947,0.10255026312238565,0.05201916495550993
140,1633-T,東証,NEXT FUNDS 不動産（TOPIX-17）上場投信,35600.0,32450.0,850.0,70700.0,34450.0,0.02467343976777939,0.012022630834512023,0.09143686502177069,0.046289493019838354
141,1636-T,東証,ダイワ上場投信・TOPIX-17 建設・資材,23550.0,21390.0,110.0,47100.0,22986.0,0.004785521621856782,0.002335456475583864,0.09397024275646046,0.04806408544726302
142,1662-T,東証1部,石油資源開発,3885.0,3580.0,65.0,7710.0,3739.0,0.017384327360256753,0.008430609597924773,0.08157261299812785,0.04085733422638982
143,1663-T,東証1部,K&Oエナジーグループ,1890.0,1631.0,82.0,3698.0,1751.6,0.04681434117378397,0.022174148188209845,0.14786480931719573,0.073558648111332
144,1670-T,東証,MAXIS S&P三菱系企業群上場投信,163.0,154.0,3.0,325.0,160.0,0.01875,0.009230769230769232,0.05625,0.028391167192429023
145,1671-T,東証,WTI原油価格連動型上場投信,4180.0,3725.0,95.0,8355.0,3933.0,0.024154589371980676,0.011370436864153202,0.11568777015001272,0.05755850727387729
146,1677-T,東証,上場インデックスファンド海外債券（Citi WGBI）毎月分配型,58500.0,57100.0,500.0,117000.0,58040.0,0.00861474844934528,0.004273504273504274,0.024121295658166782,0.012110726643598616
147,1678-T,東証,NEXT FUNDS インド株式指数・CNX Nifty連動型上場投信,152.0,143.0,4.0,303.0,149.2,0.02680965147453083,0.013201320132013201,0.060321715817694375,0.030508474576271188
148,1679-T,東証,Simple-X NYダウ・ジョーンズ・インデックス上場投信,20880.0,19810.0,330.0,41740.0,20550.0,0.016058394160583942,0.007906085289889795,0.05206812652068127,0.026296387318751537
149,1680-T,東証,上場インデックスファンド海外先進国株式（MSCI-KOKUSAI）,2228.0,2121.0,24.0,4456.0,2189.6,0.010960906101571063,0.005385996409335727,0.048867373036170995,0.024603357093584733
150,1681-T,東証,上場インデックスファンド海外新興国株式（MSCIエマージング）,1525.0,1362.0,40.0,3045.0,1463.6,0.02732987154960372,0.013136288998357963,0.11136922656463516,0.05645999307239349
151,1682-T,東証,NEXT FUNDS 日経・東商取白金指数連動型上場投信,230.0,210.0,10.0,457.0,221.4,0.045167118337850046,0.02188183807439825,0.09033423667570009,0.045454545454545456
